age,weight,height,arm_span,wins_count,wins_knockouts_count,wins_submissions_count,wins_judges_decisions_count,defeats_count,defeats_knockouts_count,defeats_submissions_count,defeats_judges_decisions_count
39,57,173,0,10,3,1,6,4,1,1,2
28,77,175,0,16,5,8,3,1,0,0,1
33,70,175,0,13,1,5,7,2,0,0,2
28,66,175,0,9,0,7,2,1,0,1,0
45,116,191,203,13,11,0,2,9,5,2,2
28,55,154,163,19,5,0,14,1,0,0,1
27,55,166,166,28,15,0,13,3,1,0,2
35,55,175,183,30,23,0,7,4,2,0,2
34,55,171,170,33,16,0,17,4,3,0,1
29,55,165,165,35,27,0,8,1,1,0,0
31,0,0,0,0,0,0,0,0,0,0,0
35,55,168,165,21,17,0,4,4,1,0,3
33,55,168,174,20,12,0,9,1,0,0,1
29,55,166,173,11,8,0,3,1,0,0,1
29,55,169,179,21,8,0,13,1,1,0,0
27,53,170,0,8,1,0,7,0,0,0,0
31,53,172,0,17,15,0,2,7,4,0,3
28,53,159,166,28,14,0,14,4,1,0,3
35,53,168,165,34,15,0,19,3,2,0,1
26,53,165,0,18,14,0,5,4,1,0,3
27,53,172,0,12,9,0,3,1,0,0,1
31,53,170,170,19,12,0,7,1,1,0,1
31,53,168,169,22,13,0,9,2,1,0,1
41,53,170,174,42,28,0,14,9,2,0,6
33,53,165,0,26,19,0,7,2,1,0,1
30,53,165,173,26,23,0,3,0,0,0,0
32,52,165,165,34,23,0,11,4,1,0,3
33,52,165,165,25,16,0,9,3,1,0,2
28,52,164,164,20,11,0,9,1,1,0,0
30,52,163,165,36,25,0,9,6,1,0,5
36,70,173,0,24,7,12,5,8,0,1,7
0,70,177,0,15,5,2,8,4,1,0,3
28,52,165,170,18,8,0,10,2,1,0,1
34,84,183,0,18,11,2,5,11,2,3,6
32,52,157,163,16,9,0,7,0,0,0,0
24,52,163,170,18,11,0,7,0,0,0,0
34,52,165,166,30,15,0,15,2,0,0,2
36,52,160,163,51,41,0,0,4,1,0,3
33,52,163,168,44,28,0,16,3,0,0,3
35,50,163,173,39,34,0,5,3,0,0,3
25,50,168,0,22,16,0,6,2,0,0,2
38,50,163,163,21,16,0,5,4,0,0,4
23,0,0,0,16,7,0,9,0,0,0,0
36,50,164,0,22,15,0,7,0,0,0,0
28,50,160,0,20,4,0,16,0,0,0,0
29,50,157,163,20,15,0,5,2,0,0,0
26,50,172,170,27,20,0,7,0,0,0,0
26,65,172,0,9,4,3,2,3,0,2,1
28,70,179,185,35,23,0,12,3,2,0,1
36,70,179,178,35,24,0,11,4,1,0,3
29,70,174,174,9,6,0,3,0,0,0,0
35,70,176,0,33,20,0,13,4,2,0,2
28,70,177,0,25,13,0,12,0,0,0,0
28,70,177,189,25,18,0,7,2,2,0,0
33,70,185,194,29,21,0,8,4,4,0,0
29,70,174,183,24,17,0,7,0,0,0,0
26,70,197,203,20,13,0,7,1,1,0,0
34,70,171,171,17,12,0,5,1,1,0,0
33,70,183,185,35,19,0,16,2,0,0,2
33,52,165,168,10,2,5,3,0,0,0,0
29,70,177,187,15,7,8,0,6,4,2,0
30,67,179,183,14,11,0,3,1,0,0,1
27,67,173,173,21,14,0,7,0,0,0,0
35,67,173,174,29,17,0,12,4,2,0,2
35,67,177,175,30,22,0,8,1,0,0,1
29,67,173,173,14,9,0,5,0,0,0,0
25,67,178,178,20,20,0,0,0,0,0,0
37,67,175,175,27,12,0,15,5,1,0,4
26,67,178,188,31,28,0,3,0,0,0,0
36,67,173,188,40,31,0,9,0,0,0,0
34,67,177,183,28,22,0,6,1,1,0,0
28,49,163,0,11,8,0,3,1,0,0,1
30,49,160,164,26,19,0,7,1,1,0,0
28,49,170,0,14,10,0,4,4,2,0,2
36,49,163,157,13,7,0,6,1,0,0,1
31,49,166,164,15,14,0,1,4,2,0,2
25,49,165,170,12,9,0,3,0,0,0,0
27,49,160,163,20,13,0,7,3,0,0,3
35,49,160,167,35,11,0,24,4,1,0,3
30,63,172,175,41,14,0,27,3,0,0,3
33,63,172,174,9,8,0,1,3,0,0,3
32,63,179,180,23,20,0,3,1,1,0,0
27,63,178,175,17,17,0,0,0,0,0,0
32,63,175,183,28,10,0,18,0,0,0,0
31,63,173,182,20,20,0,0,1,0,0,1
30,63,170,175,27,13,0,14,1,0,0,1
34,63,173,179,37,28,0,9,3,2,0,1
31,63,178,183,28,18,0,10,1,0,0,1
35,63,173,170,29,24,0,5,1,0,0,1
33,63,178,177,19,13,0,6,1,0,0,1
32,91,193,198,22,15,0,7,0,0,0,0
31,91,198,208,16,13,0,3,0,0,0,0
38,91,198,203,15,14,0,1,1,1,0,0
44,91,193,198,33,28,0,5,3,2,0,1
34,91,188,188,35,22,0,13,2,0,0,2
35,91,193,198,29,19,0,10,3,3,0,0
32,91,193,198,33,22,0,11,3,1,0,2
38,91,201,211,43,42,0,1,3,2,0,1
34,91,198,208,26,23,0,3,3,1,0,2
37,100,191,198,21,14,0,7,0,0,0,0
35,120,206,216,33,24,0,9,0,0,0,0
32,48,157,158,27,14,0,13,3,3,0,9
32,48,164,163,21,13,0,8,1,1,0,0
30,48,163,163,17,11,0,6,1,1,0,0
26,47,160,0,7,5,0,2,0,0,0,0
27,47,163,164,15,12,0,3,4,0,0,4
24,47,153,0,9,7,0,2,0,0,0,0
27,47,157,0,21,12,0,9,4,1,0,3
29,47,160,163,26,15,0,11,3,0,0,3
29,165,47,166,18,6,0,12,3,2,0,1
38,47,158,165,55,19,0,36,3,0,0,3
25,61,175,180,25,14,0,11,1,0,0,1
29,61,173,173,18,12,0,6,0,0,0,0
27,61,175,177,28,24,0,4,0,0,0,0
35,61,173,180,30,27,0,3,5,2,0,3
31,61,168,163,33,15,0,18,4,0,0,4
25,61,163,160,25,17,0,8,2,0,0,2
25,61,178,178,23,19,0,4,1,1,0,0
29,61,166,171,29,27,0,2,0,0,0,0
36,61,170,168,17,11,0,6,3,0,0,3
30,61,176,173,21,10,0,11,2,0,0,2
25,61,173,180,30,15,0,15,0,0,0,0
33,90,191,191,18,12,0,6,1,0,0,1
